Modelo,Accuracy,F1-Score,Precision,Recall
Random Forest,0.8906666666666667,0.88404162220569,0.9064729782880038,0.8906666666666667
XGBoost,0.9280952380952381,0.927423347367315,0.9328697025740773,0.9280952380952381
MLP (Red Neuronal),0.8590476190476191,0.8440304777511766,0.8742731289012275,0.8590476190476191
